Category: All categories

Month,Data science: (United States)
2004-01,19
2004-02,16
2004-03,13
2004-04,8
2004-05,9
2004-06,5
2004-07,5
2004-08,13
2004-09,12
2004-10,13
2004-11,15
2004-12,8
2005-01,10
2005-02,13
2005-03,5
2005-04,11
2005-05,0
2005-06,8
2005-07,6
2005-08,16
2005-09,12
2005-10,8
2005-11,11
2005-12,10
2006-01,5
2006-02,6
2006-03,8
2006-04,11
2006-05,2
2006-06,8
2006-07,5
2006-08,8
2006-09,10
2006-10,8
2006-11,9
2006-12,2
2007-01,6
2007-02,8
2007-03,6
2007-04,8
2007-05,4
2007-06,7
2007-07,3
2007-08,5
2007-09,10
2007-10,12
2007-11,8
2007-12,8
2008-01,8
2008-02,8
2008-03,7
2008-04,12
2008-05,8
2008-06,6
2008-07,6
2008-08,4
2008-09,5
2008-10,9
2008-11,6
2008-12,3
2009-01,9
2009-02,6
2009-03,6
2009-04,5
2009-05,4
2009-06,2
2009-07,8
2009-08,6
2009-09,8
2009-10,8
2009-11,7
2009-12,9
2010-01,8
2010-02,8
2010-03,6
2010-04,7
2010-05,6
2010-06,6
2010-07,5
2010-08,6
2010-09,11
2010-10,8
2010-11,8
2010-12,5
2011-01,8
2011-02,7
2011-03,8
2011-04,8
2011-05,5
2011-06,6
2011-07,4
2011-08,7
2011-09,9
2011-10,8
2011-11,10
2011-12,8
2012-01,8
2012-02,8
2012-03,10
2012-04,10
2012-05,6
2012-06,7
2012-07,6
2012-08,10
2012-09,13
2012-10,13
2012-11,12
2012-12,8
2013-01,11
2013-02,11
2013-03,10
2013-04,12
2013-05,11
2013-06,8
2013-07,9
2013-08,14
2013-09,18
2013-10,14
2013-11,16
2013-12,15
2014-01,17
2014-02,16
2014-03,17
2014-04,16
2014-05,18
2014-06,12
2014-07,15
2014-08,27
2014-09,31
2014-10,27
2014-11,22
2014-12,21
2015-01,30
2015-02,25
2015-03,29
2015-04,36
2015-05,29
2015-06,28
2015-07,31
2015-08,30
2015-09,45
2015-10,39
2015-11,32
2015-12,29
2016-01,36
2016-02,38
2016-03,41
2016-04,38
2016-05,36
2016-06,35
2016-07,32
2016-08,38
2016-09,52
2016-10,39
2016-11,44
2016-12,36
2017-01,53
2017-02,57
2017-03,56
2017-04,56
2017-05,52
2017-06,51
2017-07,49
2017-08,58
2017-09,65
2017-10,66
2017-11,61
2017-12,52
2018-01,67
2018-02,67
2018-03,67
2018-04,71
2018-05,64
2018-06,62
2018-07,58
2018-08,67
2018-09,76
2018-10,75
2018-11,74
2018-12,59
2019-01,80
2019-02,78
2019-03,74
2019-04,80
2019-05,75
2019-06,77
2019-07,69
2019-08,83
2019-09,91
2019-10,90
2019-11,79
2019-12,73
2020-01,88
2020-02,86
2020-03,70
2020-04,75
2020-05,80
2020-06,74
2020-07,72
2020-08,83
2020-09,100
2020-10,73
2020-11,64
2020-12,58
2021-01,64
2021-02,62
2021-03,63
2021-04,66
2021-05,63
2021-06,61
2021-07,64
2021-08,68
2021-09,84
2021-10,80
2021-11,65
2021-12,63
2022-01,48
