Category: All categories

Month,Data science: (United States)
2004-01,3
2004-02,0
2004-03,3
2004-04,0
2004-05,0
2004-06,4
2004-07,5
2004-08,0
2004-09,2
2004-10,2
2004-11,2
2004-12,0
2005-01,2
2005-02,0
2005-03,0
2005-04,2
2005-05,0
2005-06,0
2005-07,3
2005-08,3
2005-09,1
2005-10,1
2005-11,0
2005-12,0
2006-01,1
2006-02,0
2006-03,0
2006-04,1
2006-05,2
2006-06,0
2006-07,0
2006-08,2
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,2
2007-03,1
2007-04,1
2007-05,0
2007-06,0
2007-07,1
2007-08,1
2007-09,1
2007-10,2
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,2
2008-06,1
2008-07,0
2008-08,1
2008-09,<1
2008-10,1
2008-11,1
2008-12,<1
2009-01,1
2009-02,<1
2009-03,1
2009-04,1
2009-05,0
2009-06,<1
2009-07,1
2009-08,1
2009-09,<1
2009-10,<1
2009-11,1
2009-12,1
2010-01,1
2010-02,<1
2010-03,1
2010-04,1
2010-05,0
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,2
2011-03,1
2011-04,1
2011-05,<1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,2
2011-12,1
2012-01,2
2012-02,3
2012-03,3
2012-04,2
2012-05,2
2012-06,2
2012-07,3
2012-08,3
2012-09,3
2012-10,6
2012-11,4
2012-12,4
2013-01,5
2013-02,5
2013-03,6
2013-04,12
2013-05,8
2013-06,7
2013-07,9
2013-08,9
2013-09,9
2013-10,11
2013-11,9
2013-12,11
2014-01,14
2014-02,13
2014-03,16
2014-04,14
2014-05,16
2014-06,17
2014-07,15
2014-08,25
2014-09,19
2014-10,24
2014-11,22
2014-12,18
2015-01,23
2015-02,23
2015-03,28
2015-04,32
2015-05,28
2015-06,29
2015-07,27
2015-08,34
2015-09,31
2015-10,34
2015-11,30
2015-12,30
2016-01,38
2016-02,40
2016-03,41
2016-04,44
2016-05,37
2016-06,37
2016-07,33
2016-08,39
2016-09,43
2016-10,42
2016-11,42
2016-12,40
2017-01,54
2017-02,58
2017-03,60
2017-04,59
2017-05,62
2017-06,57
2017-07,57
2017-08,62
2017-09,67
2017-10,69
2017-11,73
2017-12,59
2018-01,70
2018-02,78
2018-03,72
2018-04,86
2018-05,76
2018-06,72
2018-07,75
2018-08,77
2018-09,83
2018-10,81
2018-11,76
2018-12,69
2019-01,90
2019-02,87
2019-03,87
2019-04,89
2019-05,81
2019-06,84
2019-07,78
2019-08,94
2019-09,95
2019-10,99
2019-11,89
2019-12,79
2020-01,100
2020-02,100
2020-03,80
2020-04,80
2020-05,89
2020-06,86
2020-07,89
2020-08,93
2020-09,87
2020-10,81
2020-11,74
2020-12,71
2021-01,70
2021-02,77
2021-03,71
2021-04,78
2021-05,69
2021-06,78
2021-07,75
2021-08,83
2021-09,90
2021-10,87
2021-11,82
2021-12,75
2022-01,64
